part_number,manufacturer,category,description,availability,price,datasheet_url,product_url
MAL213817332E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 3300uF 40V 20% Axial,660 在庫,"¥1,181.8",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213817332E3?qs=cAZGeXF9iMoZfCOY64haWQ%3D%3D
REF1625562M010B,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 10V 5600uF 1625 20% Radial,254 在庫,¥313,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REF1625562M010B?qs=Y0Uzf4wQF3k%252Bdc3EzCB%2F2Q%3D%3D
REH1625470M400B,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 400V 47uF 1625 20% R adial,469 在庫,¥454.8,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REH1625470M400B?qs=Y0Uzf4wQF3ndOtSwy9OZkQ%3D%3D
EXV337M016A9MAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 16V 330uF 20%,6109 在庫,¥130.4,https://www.mouser.com/datasheet/3/72/1/KEM_A4003_EXV.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV337M016A9MAA?qs=E9QF1UCAUX6sNSHebiU6kg%3D%3D
EXV227M025A9MAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 25V 220uF 20%,7154 在庫,¥161.4,https://www.mouser.com/datasheet/3/508/1/EXV227M025A9MAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV227M025A9MAA?qs=Z46kSA%2FmtFjcV3jExUs8Iw%3D%3D
ALS30A222MF350,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 350volts 2200uF 20%,74 在庫,"¥7,661",https://www.mouser.com/datasheet/3/72/1/KEM_A4031_ALS30_31.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS30A222MF350?qs=P8MLx3uqQOhRVZiVHTVlhw%3D%3D
EEV-FK1E102V,Panasonic,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 25VDC 1000uF 20% Anti-Vibe AEC-Q200,6919 在庫,¥270.6,,https://www.mouser.jp/ProductDetail/Panasonic/EEV-FK1E102V?qs=SsWZTgbPiDBvkQCDkKJHlg%3D%3D
MAL203137479E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,"アルミ電解コンデンサ-アキシャルリード 47uF 40V -10%,+50% Axial",2520 在庫,¥386.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL203137479E3?qs=4T%252B5yYZyZYfykDjdIIQN0w%3D%3D
MAL210425472E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 4700uF 350V 20% 105C 5000H 76X146,64 在庫,"¥27,106.9",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL210425472E3?qs=A8YJ4olPTF4cPpU%252BLuJgpA%3D%3D
B43703A4478M000,TDK,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 350VDC 4700uF 20% Ring clip/clamp mnt (clamp not included),27 在庫,"¥15,344.8",,https://www.mouser.jp/ProductDetail/TDK/B43703A4478M000?qs=W0yvOO0ixfHgx9OdqoxDww%3D%3D
