part_number,manufacturer,category,description,availability,price,datasheet_url,product_url,capacitance_uF,voltage_V,tolerance_percent,price_jpy,stock,is_aluminum_electrolytic
MAL225923122E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 1200uF 250V 20% 105C 3000H 35x40mm,550 在庫,"¥2,705.8",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL225923122E3?qs=r5DSvlrkXmK8j0G1ngToOA%3D%3D,1200.0,250.0,20.0,2705.8,550,True
MAL225957331E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 330uF 450V 20% 105C 3000H 30x45mm,655 在庫,"¥2,725.4",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL225957331E3?qs=r5DSvlrkXmIFXl6%252BB%252B7zpA%3D%3D,330.0,450.0,20.0,2725.4,655,True
MAL205058682E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 6800UF 63V,92 在庫,"¥4,267.3",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL205058682E3?qs=G99oyVYclWUCyFFDqXmbHg%3D%3D,6800.0,63.0,,4267.3,92,True
B43612A5228M050,TDK,アルミニウム電解キャパシタ - スナップイン,"アルミニウム電解キャパシタ - スナップイン 450V, 2200uF (M), d45x90",17 在庫,"¥7,348",,https://www.mouser.jp/ProductDetail/TDK/B43612A5228M050?qs=Imq1NPwxi761dmIQsCMK8A%3D%3D,2200.0,450.0,,7348.0,17,True
ALS30A472NT500,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 500volts 4700uF 85 deg C Screw Term,28 在庫,"¥22,883.6",https://www.mouser.com/datasheet/3/72/1/KEM_A4031_ALS30_31.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS30A472NT500?qs=P8MLx3uqQOh2a1JbgKCJqw%3D%3D,4700.0,,,22883.6,28,True
MAL214268222E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 2200 F 63V 18x40mm 105 C 2500h,866 在庫,¥947,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214268222E3?qs=Ep9Lwju7gVqJoPiXXXwWXA%3D%3D,2200.0,63.0,,947.0,866,True
MAL215056682E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 6800uF 25V 20%,743 在庫,"¥1,000.8",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215056682E3?qs=u16ybLDytRbvxR2xdQ5QFw%3D%3D,6800.0,25.0,20.0,1000.8,743,True
MAL219366471E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 470uF 400V 35x40,631 在庫,"¥2,639",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL219366471E3?qs=GedFDFLaBXF1%252BqqAZlR1fQ%3D%3D,470.0,400.0,,2639.0,631,True
MAL215097102E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 220uF 50volts 20%,17485 在庫,¥428.7,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215097102E3?qs=qmStTZH4TznNa7zgwdGJWg%3D%3D,220.0,,20.0,428.7,17485,True
EDH106M250A9RAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 250V 10uF 20%,3157 在庫,¥150,https://www.mouser.com/datasheet/3/72/1/EDH106M250A9RAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH106M250A9RAA?qs=E9QF1UCAUX55reBJyyPNhA%3D%3D,10.0,250.0,20.0,150.0,3157,True
